Date,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2020-09-08,1863.2371993619934,1905.9160720894756,1859.3662329104584,1867.9178466796875,346900,-219442.8543313731,346900,-0.6325824569944454,0.0,0.0,0.0,0.0,1877.7333838932072,50.0,1000.0,1867.9178466796875,1867.9178466796875,1867.9178466796875,0.0,0.0,0.0,0.0,1877.7333838932072,1924.2832230722245,1831.18354471419,4.958088254521299,0.39456959050092494,0.0,0.0,1859.3662329104584,1905.9160720894756,1882.6411524999671,2.4920710116754745,0.1837087715027773,0.0,0.0,0.0,0.0,0.0,1867.9178466796875,1867.9178466796875,1867.9178466796875,1867.9178466796875,0.0,0.0,0.0,-36.7616486659997,1.0,1148.0302570835825,-380.65318685393885,-380.65318685393885,0.0,1882.6411524999671,1882.6411524999671,1882.6411524999671,1882.6411524999671,0.0,0.0,0.0,0.0,0.0,2985.4534481779665,2922.914805630112,0.0,0.0,0.0,1580.9659318260783,1905.9160720894756,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,18.37087715027773,18.37087715027773,-81.62912284972226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1867.9178466796875,0.0,0.0,0.0
2020-09-09,1863.9186756947886,1886.1665174764316,1800.5717839787876,1847.6448974609375,460900,-173395.82342508348,-114000,-0.21465192303179437,-9343802.294921875,-729328.8187511248,-729328.8187511248,-5002.255485449176,1858.9396504902688,0.0,1000.0,1857.7813720703125,1878.0543212890625,1837.5084228515625,2.182490310596431,0.25,0.0,0.0,1861.2638917659633,1927.3361781042936,1795.1916054276326,7.09972257352946,0.3969386783795554,0.0,0.0,1800.5717839787876,1905.9160720894756,1853.2439280341316,5.670435159616886,0.4468501740947638,0.0,0.0,-1.6172153222933048,-0.323443064458661,-1.2937722578346438,1857.7813720703125,1857.7813720703125,1864.7989314152646,1866.416146737558,0.021575261095814417,0.08480620850669894,-0.06323094741088453,-0.0021197722380164714,2.1298476573752656,1158.1667316929575,-384.01414475527895,-382.3336658046089,-1.6804789506700217,1853.2439280341316,1853.2439280341316,1853.2439280341316,1853.2439280341316,0.0,0.0,0.0,0.0,-66.66666666666713,2985.4534481779665,2922.914805630112,0.0,4.0,-4.0,1580.9659318260783,1905.9160720894756,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,35.622434223864055,44.68501740947638,31.527947279877054,-55.31498259052362,0.0,0.0,-0.08664816392207873,-0.01732963278441575,-0.06931853113766298,2.559211839722151,0.5118423679444302,2.0473694717777207,1858.310213394963,-1.085323385864434,-1.0912559844265424,-1.085323385864434
2020-09-10,1847.5757642792178,1878.0889316886555,1789.057668162746,1793.846923828125,341800,-478422.95237737236,-455800,-0.41616471153216106,-10635851.593889508,-255160.027561509,-492244.42315631686,-14954.464058083762,1847.4605472604326,0.0,970.882947417687,1836.4698893229167,1898.9793234521565,1773.960455193677,6.807564283265885,0.15906773842594887,0.0,0.0,1847.6196526972562,1921.3449314314464,1773.8943739630658,7.980568795808389,0.13531688321583862,0.0,0.0,1789.057668162746,1905.9160720894756,1847.4868701261107,6.363208272900886,0.04098340816276963,0.0,0.0,-7.157410803946277,-1.6902366123561845,-5.467174191590093,1836.4698893229167,1836.4698893229167,1853.8832379403202,1861.0406487442665,0.07836299258225955,0.15208228730449203,-0.07371929472223247,-0.011189842136726493,3.337645878210432,1179.4782144403532,-391.08040783878613,-385.24924648266796,-5.831161356118173,1847.4868701261107,1847.4868701261107,1847.4868701261107,1847.4868701261107,0.0,0.0,0.0,0.0,-90.61805712432987,2985.4534481779665,2922.914805630112,0.0,8.0,-8.0,1580.9659318260783,1905.9160720894756,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,23.448478838361485,4.098340816276963,22.384745125343695,-95.90165918372304,0.0,0.0,-0.3845918577208792,-0.09078207777170846,-0.2938097799491708,1.8666951315562366,0.7828129206667915,1.083882210889445,1828.0303454589678,-2.9117052582313008,-2.9549366445843717,-3.965427226000706
2020-09-11,1790.815521207767,1812.0463503639398,1747.8205848919986,1761.4083251953125,382800,-699250.9789835813,-838600,-0.45631100168597055,-10890372.159996811,-899963.2416688526,-628150.6959938288,-21876.73562523695,1829.0494442470458,0.0,970.882947417687,1817.7044982910156,1902.2991247357854,1733.1098718462458,9.307852461641005,0.16725916608628913,0.0,0.0,1829.1543445605464,1900.5047449791743,1757.8039441419182,7.801463078368048,0.025258309920102685,0.0,0.0,1747.8205848919986,1905.9160720894756,1826.868328490737,8.697535124444954,0.08594641469013899,0.0,0.0,-14.004148342286953,-4.153018958342338,-9.851129383944615,1817.7044982910156,1817.7044982910156,1839.656328287242,1853.660476629529,0.09123050457911587,0.23843590713997204,-0.14720540256085618,-0.027899406483540442,4.505754897180763,1198.2436054722543,-397.3024615301231,-388.2625502445318,-9.039911285591302,1826.868328490737,1826.868328490737,1826.868328490737,1826.868328490737,0.0,0.0,0.0,0.0,-115.0144411478637,2985.4534481779665,2922.914805630112,0.0,12.0,-12.0,1580.9659318260783,1903.578904010941,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,22.932635649846755,8.594641469013899,19.125999898255746,-91.4053585309861,0.0,0.0,-0.755486159350519,-0.2237228940874706,-0.5317632652630484,2.2070689334189337,1.0676641232172202,1.1394048102017136,1796.7210448879396,-1.8083259057348977,-1.82487594129217,-5.702045283934765
2020-09-14,1780.427229274932,1782.8465081306172,1752.382760734239,1762.2476806640625,377000,-832087.004988337,-461600,-0.4357845422584775,-9289399.421180302,-99543.18904166728,-495998.81925578846,-21697.08562177528,1816.5662712658288,0.0,971.3455976162664,1806.613134765625,1894.3245603400733,1718.901709191177,9.710039619060682,0.247094213718452,0.0,0.0,1816.4886056170315,1879.6616754312097,1753.3155358028537,6.955515120637837,0.0706958272526767,0.0,0.0,1747.8205848919986,1905.9160720894756,1826.868328490737,8.750932015004254,0.09125558248252234,0.0,0.0,-19.141852833881103,-7.150785733450091,-11.991067100431012,1806.613134765625,1806.613134765625,1827.7473055759838,1846.8891584098649,0.11384552626842931,0.27518465153909305,-0.16133912527066374,-0.04887752838249623,5.5449670505954,1209.3349689976449,-400.9800326101928,-390.80604671766395,-10.173985892528833,1826.868328490737,1826.868328490737,1826.868328490737,1826.868328490737,0.0,0.0,0.0,0.0,-90.4116282006559,2985.4534481779665,2922.914805630112,0.0,12.0,-12.0,1580.9659318260783,1897.3485712461832,0.0,0.0,0.8969428063562077,0.0,0.0,0.0,-99.91287497771198,23.844030249662897,9.125558248252235,7.272846844514368,-90.87444175174777,0.0,0.0,-1.0364375548320324,-0.38626582623638295,-0.6501717285956494,2.317541722681467,1.3176396431100694,0.9999020795713975,1781.1952572208902,0.047652520812113686,0.04764117060407358,-5.657109931438297
2020-09-15,1774.9072687089126,1794.9827028546142,1762.6526025773162,1764.6275634765625,268000,-1067344.17298607,-193600,-0.49019205152294937,-7871226.847618831,135147.27780416416,-369769.5998437979,-21335.15659173696,1811.337889827684,14.440028891525131,972.6573818325994,1799.6155395507812,1885.5830058160361,1713.6480732855264,9.553981322778975,0.2965045522787514,0.0,0.0,1809.421775175776,1867.4543500671407,1751.3892002844113,6.41448839486052,0.11405976054770095,0.0,0.0,1747.8205848919986,1905.9160720894756,1826.868328490737,8.784958993904928,0.10630903438483559,0.0,0.0,-22.759130911097145,-10.272454768979502,-12.486676142117643,1799.6155395507812,1799.6155395507812,1818.0365760222267,1840.7957069333238,0.1404959737790275,0.2828532936562983,-0.1423573198772708,-0.07148942589968998,6.506384576860814,1216.3325642124887,-403.3002300983764,-392.88841061444936,-10.411819483927047,1826.868328490737,1826.868328490737,1826.868328490737,1826.868328490737,0.0,0.0,0.0,0.0,-61.668613544314525,2985.4534481779665,2922.914805630112,0.0,12.0,-12.0,1580.9659318260783,1891.3674517920158,0.0,0.0,3.538814239760171,0.0,0.0,0.0,-99.59559911684711,22.287673392894078,10.630903438483559,9.450367718583232,-89.36909656151644,-13.663251902338743,0.0,-1.236374619159274,-0.5562875848209612,-0.6800870343383127,-0.04480514635953471,1.0451506852161487,-1.0899558315756834,1773.6229396256629,0.13504814553668698,0.13495703754582422,-5.529701607954996
2020-09-16,1777.4648502087039,1814.821193082119,1765.516360601822,1784.04150390625,382300,-1162363.5179665862,188700,-0.45410146422103614,-5686487.379920494,146394.26458167602,-283742.2891062189,-17129.198586838025,1807.871166887933,29.149684147486596,972.6573818325994,1797.3906773158483,1877.723941682335,1717.0574129493616,8.938876269955196,0.4169137871162667,0.0,0.0,1806.3795719406742,1863.1653264876006,1749.5938173937477,6.287244987599033,0.30331274795367474,0.0,0.0,1747.8205848919986,1905.9160720894756,1826.868328490737,8.795833270570345,0.22910786168746158,0.0,0.0,-23.7851269668206,-12.974989208547722,-10.810137758272877,1797.3906773158483,1797.3906773158483,1812.8065649274608,1836.5916918942814,0.1703977561335459,0.29297302149038407,-0.12257526535683816,-0.09207809495520602,7.470247611923361,1218.5574264474217,-404.0379292093647,-394.48119898515154,-9.55673022421314,1826.868328490737,1826.868328490737,1826.868328490737,1826.868328490737,0.0,0.0,0.0,0.0,-34.4251227689677,2985.4534481779665,2922.914805630112,0.0,12.0,-12.0,1580.9659318260783,1885.6255771160152,0.0,0.0,21.84248423790143,0.0,0.0,0.0,-97.30855906844894,24.35063025314681,22.910786168746156,14.222415951827317,-77.08921383125384,-20.852452944280458,0.0,-1.2950688534525794,-0.7040438385472849,-0.5910250149052945,0.6615314413092945,0.9684268364347779,-0.30689539512548336,1778.1839314307103,1.1001721174205947,1.0941642484170622,-4.490365725801682
2020-09-17,1760.8651483010299,1783.2316038719027,1734.4994693634194,1764.8348388671875,480600,-1044624.0965331583,-291900,-0.34359244039507886,-6192806.785328058,-317410.26074956584,-288551.99934098276,-22303.250422270256,1800.4390635798652,24.034396878399093,972.6573818325994,1793.3211975097656,1871.4905830662804,1715.151811953251,8.71783433609796,0.31779082412012105,0.0,0.0,1800.6890384523613,1856.468090494482,1744.90998641024,6.195300893269335,0.17860515486980166,0.0,0.0,1734.4994693634194,1905.9160720894756,1820.2077707264475,9.55861130533047,0.17696867760381166,0.0,0.0,-25.850070068103378,-15.550005380458854,-10.300064687644523,1793.3211975097656,1793.3211975097656,1805.4262993797265,1831.27636944783,0.17634846312348457,0.33520132785645274,-0.15885286473296817,-0.11228374444046647,8.435296660629833,1222.6269062535043,-405.3872494450162,-395.8444552926346,-9.542794152381589,1820.2077707264475,1820.2077707264475,1820.2077707264475,1820.2077707264475,0.0,0.0,0.0,0.0,-75.44704985644415,2985.4534481779665,2922.914805630112,0.0,28.000000000000004,-28.000000000000004,1580.9659318260783,1880.1133774270545,0.0,0.0,18.16927173286207,0.0,0.0,0.0,-95.50722238234698,30.307971264425042,17.696867760381167,17.07951912253696,-82.30313223961883,-29.292945276459932,0.0,-1.4115875953719503,-0.845552589912218,-0.5660350054597323,3.3360394110961638,1.4419493513670552,1.8940900597291086,1772.593999346143,-1.0765817385418708,-1.0824188114504807,-5.5186050069458314
2020-09-18,1768.735378474894,1772.0532980627927,1698.4662413875772,1710.592529296875,629300,-1466521.509010146,-921200,-0.3996406989890304,-10184503.732080858,-276033.51440943405,-286987.1887245392,-41644.825430222845,1787.8513988689263,19.6140572358306,972.6573818325994,1784.129123263889,1874.3251817152652,1693.9330648125126,10.11093393132572,0.0923513996642288,0.0,0.0,1792.5055182075523,1850.2632374311283,1734.7477989839763,6.444356085590395,-0.20910858333583038,0.0,1.0,1698.4662413875772,1905.9160720894756,1802.1911567385264,11.627512156877378,0.05845407474312714,0.0,0.0,-31.500337135194968,-18.74007173140608,-12.760265403788889,1784.129123263889,1784.129123263889,1790.8364885977494,1822.3368257329444,0.19140823038737298,0.3720276366800196,-0.1806194062926466,-0.1368685547953848,9.478621378970708,1231.818980499381,-408.43507186424387,-397.2434126894801,-11.191659174763743,1802.1911567385264,1802.1911567385264,1802.1911567385264,1802.1911567385264,0.0,0.0,0.0,0.0,-118.78651921985832,2985.4534481779665,2922.914805630112,0.0,32.0,-32.0,1580.9659318260783,1871.3765429432365,0.0,0.0,12.020976952674445,0.0,0.0,0.0,-94.22056752341238,25.021112561518486,5.845407474312714,15.484353801146682,-94.15459252568729,-30.548441612741954,0.0,-1.7285683244932244,-1.0221557368284193,-0.7064125876648051,8.227509034325136,2.7990612879586716,5.428447746366464,1745.6460861523674,-3.07350627807923,-3.121729143898211,-8.422496613674191
2020-09-21,1655.2146045200786,1666.9557609855065,1611.7359339556756,1631.7027587890625,656100,-1648145.7825248695,-1577300,-0.3810125026064844,-16123800.117522992,-807247.4008003842,-344793.8789551886,-71903.10000099463,1764.9404166540019,16.597739685318018,972.6573818325994,1768.8864868164062,1894.1301007672669,1643.6428728655455,14.160729349713188,-0.04766755645189121,0.0,1.0,1776.9347815111385,1834.43871151534,1719.430851506937,6.4722611772277965,-0.7628008443202461,0.0,1.0,1611.7359339556756,1905.9160720894756,1758.8260030225756,16.630809287443732,0.06787278352662113,62.0779687426244,0.0,-41.86140741761142,-23.36433886864715,-18.49706854896427,1768.8864868164062,1768.8864868164062,1766.3543763194898,1808.2157837371012,0.1986814157297028,0.4434045387478737,-0.24472312301817092,-0.17141341432367846,10.513913380929445,1247.0616169468638,-413.48908338004645,-400.8918456368254,-12.597237743221058,1748.9512257160536,1758.8260030225756,1753.8886143693146,1758.8260030225756,0.0,0.0,0.0,0.0,-209.2407992445281,2985.4534481779665,2922.914805630112,0.0,36.0,-36.0,1580.9659318260783,1857.5437188187836,0.0,0.0,7.8567944447684965,0.0,0.0,0.0,-93.48336074386665,26.411462609038715,6.7872783526621125,10.109851195785334,-93.2127216473379,-40.46741218423017,0.0,-2.315067028731218,-1.280737995208979,-1.0343290335222388,12.023271027380181,4.6439032358429735,7.379367791537208,1696.0347213526993,-4.611838831088521,-4.721571199642494,-12.645903475386167
