Date,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2020-09-04,112.12835520831035,112.62351237989245,108.9438294917054,110.96328735351562,4691000,457963.7110654284,4691000,0.09762603092420132,0.0,0.0,0.0,0.0,110.84354307503781,50.0,1000.0,110.96328735351562,110.96328735351562,110.96328735351562,0.0,0.0,0.0,0.0,110.84354307503781,114.52322596322487,107.16386018685078,6.639417662237679,0.5162710051540329,0.0,0.0,108.9438294917054,112.62351237989245,110.78367093579892,3.3161264197806433,0.5488130154621007,0.0,0.0,0.0,0.0,0.0,110.96328735351562,110.96328735351562,110.96328735351562,110.96328735351562,0.0,0.0,0.0,-27.913083275821865,1.0,45.25536265582201,-289.6924448720878,-289.6924448720878,0.0,110.78367093579892,110.78367093579892,110.78367093579892,110.78367093579892,0.0,0.0,0.0,0.0,0.0,155.1021940438557,153.0377875552566,0.0,0.0,0.0,107.23503284285005,112.62351237989245,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,54.88130154621007,54.88130154621007,-45.11869845378993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.96328735351562,0.0,0.0,0.0
2020-09-08,109.35159985360177,110.5360896747909,107.8467211948567,108.32245635986328,5686500,-3216712.2968008346,-995500,-0.30996986719352776,-15017085.445404053,-75.30446935741037,-75.30446935741037,-135333.81899151392,109.77951284977502,0.0,1000.0,109.64287185668945,112.2837028503418,107.00204086303711,4.8171503517421295,0.25,0.0,0.0,109.87264940910404,113.05717509316469,106.68812372504344,5.7967577940224935,0.25660534675542107,0.0,0.0,107.8467211948567,112.62351237989245,110.23511678737458,4.356681929381905,0.09959304197699038,0.0,0.0,-0.21066458069022076,-0.04213291613804415,-0.1685316645521766,109.64287185668945,109.64287185668945,110.5570056621845,110.76767024287471,0.03159786400231468,0.09479380307038066,-0.06319593906806598,-0.004648269853474036,1.9564705371749747,46.57577815264818,-298.14479993178935,-293.9186224019386,-4.226177529850759,110.23511678737458,110.23511678737458,110.23511678737458,110.23511678737458,0.0,0.0,0.0,0.0,-66.66666666666619,155.1021940438557,153.0377875552566,0.0,4.0,-4.0,107.23503284285005,112.62351237989245,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,6.999966624639273,9.959304197699039,32.420302871954554,-90.04069580230096,0.0,0.0,-0.19018598136830636,-0.038037196273661276,-0.15214878509464508,1.666682611586534,0.3333365223173068,1.3333460892692273,109.79851448244824,-2.3799141649787026,-2.4086916252470836,-2.3799141649787026
2020-09-09,108.39041677709291,111.22542054143078,108.39041677709291,109.9050064086914,4024200,-2941086.192758822,3028700,-0.204217987651376,-11962002.109418597,43.432665176828536,-15.935902090290917,-76541.78158297268,109.79649307888836,41.649279386182315,1014.6096211442128,109.73025004069011,111.9005968181285,107.55990326325171,3.955785713845708,0.5402600104780393,0.0,0.0,109.86186002020436,112.92987839769076,106.79384164271801,5.585229263225918,0.5070316378812525,0.0,0.0,107.8467211948567,112.62351237989245,110.23511678737458,4.353212704121626,0.4308928596842787,0.0,0.0,-0.24707113339637488,-0.08312055958971029,-0.16395057380666458,109.73025004069011,109.73025004069011,110.45669808472402,110.7037692181204,0.09327366690172519,0.12989114176841446,-0.03661747486668927,-0.009416613906801053,2.892208753377819,46.48839996864753,-297.58546732972525,-295.1409040445341,-2.4445632851911228,110.23511678737458,110.23511678737458,110.23511678737458,110.23511678737458,0.0,0.0,0.0,0.0,-2.1981410082499124,155.1021940438557,153.0377875552566,0.0,4.0,-4.0,107.23503284285005,112.62351237989245,0.0,1.0,39.222998895566995,0.0,0.0,0.0,-98.6771147315406,21.22115645220626,43.08928596842787,35.976630570778994,-56.91071403157213,0.0,0.0,-0.22318222328055418,-0.07506620167503986,-0.14811602160551432,0.17242943370201536,0.30115510459424855,-0.1287256708922332,109.84352585855281,1.4609621144212825,1.4503928802331423,-0.9537216948635074
2020-09-10,109.81762591351597,111.60406414555872,108.02147668466509,108.46808624267578,3862000,-5840203.286555013,-833300,-0.31977109164928313,-11045914.048237704,0.45007352852795385,-10.473910217351293,-127034.3465942193,109.70515377275174,29.79259145602741,1001.3444108240004,109.41470909118652,111.58901287412864,107.2404053082444,3.9744268407825265,0.28231587142118725,0.0,0.0,109.73753060456158,112.93419125289978,106.5408699562234,5.826011631075119,0.3014421138906718,0.0,0.0,107.8467211948567,112.62351237989245,110.23511678737458,4.365766929065047,0.13008001056559326,0.0,0.0,-0.38740527045916906,-0.14397750176360205,-0.243427768695567,109.41470909118652,109.41470909118652,110.15075780133199,110.53816307179116,0.14390027206205885,0.17804066531761184,-0.03414039325555299,-0.016572499641594192,3.8506572264026917,46.80394091815111,-299.60533467261115,-296.2570117015534,-3.348322971057769,110.23511678737458,110.23511678737458,110.23511678737458,110.23511678737458,0.0,0.0,0.0,0.0,-41.14269033760561,155.1021940438557,153.0377875552566,0.0,4.0,-4.0,107.23503284285005,112.53885046783645,0.0,0.0,28.3499206583772,0.0,0.0,0.0,-97.62482504226098,18.859602176247364,13.008001056559326,22.018863740895412,-86.99199894344068,0.0,0.0,-0.35047196343181597,-0.13014735402639507,-0.2203246094054209,-1.3076128696036937,-0.020598490245339884,-1.2870143793583537,109.26582637744042,-1.307420119400482,-1.3160420889398061,-2.248672664942264
2020-09-11,109.01176721928996,110.1185836553924,107.23503284285005,108.33214569091797,3098100,-6580817.301002048,-3931400,-0.308064737100902,-9528091.673261015,-105.72946731092627,-34.28779949074504,-130917.12389756952,109.53935078374258,24.28689737906251,1000.0894489598953,109.19819641113281,111.3270743790769,107.06931844318872,3.8991082964939006,0.29659455984430866,0.0,0.0,109.50240862959329,112.63644731077231,106.36836994841428,5.724145651956065,0.3132979427307068,0.0,0.0,107.23503284285005,112.62351237989245,109.92927261137125,4.934586572066351,0.20360341735102888,0.0,0.0,-0.5037830541049146,-0.21593861223186456,-0.2878444418730501,109.19819641113281,109.19819641113281,109.87097132280675,110.37475437691167,0.17204869000090733,0.24255891230008877,-0.07051022229918144,-0.02522989650188634,4.793376634277124,47.020453598204824,-300.9912939037322,-297.2038681419891,-3.7874257617430658,109.92927261137125,109.92927261137125,109.92927261137125,109.92927261137125,0.0,0.0,0.0,0.0,-93.35754876157768,155.1021940438557,153.0377875552566,0.0,16.0,-16.0,107.23503284285005,112.3581555165096,0.0,0.0,27.571223084821682,0.0,0.0,0.0,-96.77182313153892,22.28227217639667,20.36034173510289,25.48587625336336,-79.63965826489711,0.0,0.0,-0.4564296038064812,-0.1954038039824123,-0.26102579982406887,-3.8607547004184473,-0.7886297322799614,-3.072124968138486,108.87285605106392,-0.12532769450147585,-0.12540629533575043,-2.371182149835882
2020-09-14,109.66226690399378,110.18654956116018,108.39040054015565,109.00205993652344,3939000,-7837048.405862992,7600,-0.309754964501636,-7789965.403732308,27.891462979464308,-21.85194699670317,-106558.77489035395,109.48542906753283,38.75960046396503,1000.0894489598953,109.16550699869792,111.11438867520839,107.21662532218745,3.570508176238695,0.4580664480187579,0.0,0.0,109.4508410823188,112.36189815346876,106.53978401116888,5.319387301849079,0.4229178379491372,0.0,0.0,107.23503284285005,112.62351237989245,109.92927261137125,4.93606422503646,0.3279268449524943,0.0,0.0,-0.5357806592593448,-0.27990702163736064,-0.2558736376219842,109.16550699869792,109.16550699869792,109.73729264799394,110.27307330725328,0.21477324624799332,0.2633068332528012,-0.048533587004807865,-0.0332961311550186,5.675558488668243,47.053143010639715,-301.20054812807064,-297.8699814730027,-3.330566655067912,109.92927261137125,109.92927261137125,109.92927261137125,109.92927261137125,0.0,0.0,0.0,0.0,-28.93570930540283,155.1021940438557,153.0377875552566,0.0,16.0,-16.0,107.23503284285005,112.05076815609003,0.0,0.0,36.78600533760907,0.0,0.0,0.0,-95.49163270358105,23.706880461512743,32.79268449524943,22.053675762303882,-67.20731550475057,-0.23803256233392744,0.0,-0.48586716882960357,-0.25349647695185057,-0.232370691877753,-4.3533243618289585,-1.5015686581897607,-2.851755703639198,108.92579333809,0.6183891598683822,0.616484980231391,-1.7674561233428032
2020-09-15,109.82733706359558,112.76913947834292,109.20596659877265,112.5555419921875,4821500,-3593606.397605772,4829100,-0.11930053142043509,-4229525.527287083,125.56483680928437,2.7175169709614218,50622.78425964403,109.80952484727982,50.57045362121487,1000.0894489598953,109.64979771205357,112.63047687486612,106.66911854924102,5.436725329197556,0.9874298979216685,0.0,0.0,109.74503750243056,112.74925397478341,106.74082103007773,5.474901718970772,0.9677599826146678,0.0,0.0,107.23503284285005,112.76913947834292,110.00208616059649,5.0470741861519395,0.9614034386714707,0.0,0.0,-0.2712755915152911,-0.27818073561294676,0.0069051440976556355,109.64979771205357,109.64979771205357,110.17086947017756,110.44214506169286,0.2693704218494049,0.2631337760332004,0.0062366458162045335,-0.03429797168872763,6.60689151364871,46.56885229728407,-298.1004655622137,-297.9029077714614,-0.19755779075228475,110.00208616059649,110.00208616059649,110.00208616059649,110.00208616059649,0.0,0.0,0.0,0.0,139.1973753221769,155.1021940438557,153.0377875552566,24.0,16.0,8.0,107.23503284285005,112.05076815609003,1.0,0.0,63.39164614016408,0.0,0.0,0.0,-91.3551721886644,35.91803927511399,96.14034386714707,49.764456699166466,-3.85965613285293,-0.07795231507694211,0.0,-0.2456268767360113,-0.2519225569086827,0.006295680172671403,-3.0746418825816493,-1.8161833030681387,-1.2584585795135106,110.32807943115257,3.260013671056683,3.2080025857908367,1.4349382364629681
2020-09-16,113.02156579070873,114.00216159013802,110.18655490621256,110.44869995117188,5758900,-8561194.700948898,-929800,-0.238598338432073,-5358606.541961054,73.33229185469558,12.805341954352016,-57173.70816759723,110.08819631172952,59.827424253009774,1000.0894489598953,109.74966049194336,112.58746322157003,106.91185776231669,5.171410493493043,0.623165618936535,0.0,0.0,109.97013349994018,113.07577374873959,106.86449325114076,5.648152184522186,0.5770479535446362,0.0,0.0,107.23503284285005,114.00216159013802,110.61859721649404,6.165967818902492,0.47489374420573205,0.0,0.0,-0.2290179879619103,-0.26834818608273947,0.03933019812082916,109.74966049194336,109.74966049194336,110.21361262109976,110.44263060906167,0.3238287345734321,0.2859462731632903,0.03788246141014179,-0.03416500131829008,7.585709613141419,46.46898951739428,-297.46121551182716,-297.8476962390072,0.3864807271800146,110.61859721649404,110.61859721649404,110.61859721649404,110.61859721649404,0.0,0.0,0.0,0.0,105.3301360480269,155.1021940438557,153.0377875552566,28.000000000000004,16.0,12.000000000000004,107.3457149755599,112.05076815609003,0.0,0.0,49.96447927248801,0.0,0.0,0.0,-88.07975487388157,34.61876641187376,47.4893744205732,58.807467594323235,-52.5106255794268,0.09162299638623495,0.0,-0.207363756820113,-0.24301079689096877,0.035647040070855784,-0.3914981460562638,-1.5312462716657638,1.1397481256095,110.37710700928855,-1.871824348872897,-1.8895647085611422,-0.4637456357113323
2020-09-17,107.71079068699989,109.50693990308241,106.90494832601945,108.65255737304688,5859000,-6549883.7462213775,-6788800,-0.15692027700445563,-6096462.659571529,-172.6851139072052,-10.380965028342635,-152454.13582212577,109.84488458994986,50.48383874491367,1000.0894489598953,109.62776014539931,112.39070114429947,106.86481914649914,5.0405864267146825,0.3235208835909582,0.0,0.0,109.7906536889153,112.84033297418844,106.74097440364216,5.555444261975544,0.31340721279049333,0.0,0.0,106.90494832601945,114.00216159013802,110.45355495807874,6.473919794316267,0.24623876752623802,0.0,0.0,-0.3365823163336188,-0.28199501213291533,-0.05458730420070346,109.62776014539931,109.62776014539931,109.97345027524547,110.31003259157909,0.31739561607255107,0.36958360317354105,-0.052187987100989985,-0.03637666002982167,8.536935750134958,46.59088986393833,-298.2415342928226,-297.89145602276443,-0.3500782700581908,110.45355495807874,110.45355495807874,110.45355495807874,110.45355495807874,0.0,0.0,0.0,0.0,-94.10745057826401,155.1021940438557,153.0377875552566,28.000000000000004,32.0,-3.9999999999999964,107.3457149755599,114.00216159013802,0.0,1.0,41.829937591749555,0.0,0.0,0.0,-85.52016192561072,38.391364684227874,24.623876752623804,56.08453168011469,-75.3761232473762,-0.021472720460650407,0.0,-0.3051239387987571,-0.25543342527252644,-0.04969051352623066,1.8038861798901038,-0.8642197813545902,2.6681059612446942,109.7028006237074,-1.6262233769334111,-1.6395915179777454,-2.0824274727072933
2020-09-18,108.9438120463906,109.37100698149108,104.65247033271258,107.49718475341797,8822900,-4734472.451579245,-15611700,-0.09363493242264113,-6681787.577593293,-63.86678095801689,-16.323833464973106,-246273.71386228863,109.37875647551076,40.95664657728613,1000.0894489598953,109.41470260620117,112.33097166227144,106.49843355013091,5.330671265572641,0.17123783575595325,0.0,0.0,109.52894372227782,112.7455087439015,106.31237870065414,5.873452098250157,0.1841725637129757,0.0,0.0,104.65247033271258,114.00216159013802,109.3273159614253,8.545187287193277,0.3042575783928846,3.3864729871767523,0.0,-0.509187143645562,-0.3274334384354447,-0.18175370521011724,109.41470260620117,109.41470260620117,109.59248634881047,110.10167349245603,0.3298977780321814,0.4097408600131447,-0.07984308198096329,-0.04203400919859692,9.575468130301715,46.80394740313646,-299.6053761848464,-298.9928928352931,-0.6124833495533153,109.3273159614253,109.3273159614253,109.3273159614253,109.3273159614253,0.0,0.0,0.0,0.0,-139.60170651019533,155.1021940438557,153.0377875552566,28.000000000000004,36.0,-7.9999999999999964,107.3457149755599,114.00216159013802,0.0,0.0,37.5904339812171,0.0,0.0,0.0,-83.5133823941183,41.1631538008775,30.42575783928846,34.17966967082849,-69.57424216071155,-0.0684504585073995,0.0,-0.4624699402779291,-0.29684072827360697,-0.16562921200432212,8.008940492028897,0.9104122733221073,7.0985282187067895,108.85007699810568,-1.0633644044493629,-1.0690585258805285,-3.123648084663422
